No,Video Links,Thumbnails,Title,Likes,Comments,Views,Download
1,https://www.youtube.com/shorts/Tn6pYmdLVq8,https://i.ytimg.com/vi/Tn6pYmdLVq8/sddefault.jpg,,Reload,0,6123,https://scrappernew.s3.amazonaws.com/videos/C%20C%2B%2B%20and%20DSA%20in%20Hindi%20httpsbitly3Ko1Jek.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T062922Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=87a313c157eca4f74a62620698979c2a98d13170646e75959066e12bab8539ef
2,https://www.youtube.com/watch?v=NdUMbGn1a2c,https://i.ytimg.com/vi/NdUMbGn1a2c/sddefault.jpg,Apply for Techathon 2 0 by @iNeuron Intelligence with @JECRC University,247,52,5664,https://scrappernew.s3.amazonaws.com/videos/Apply%20for%20Techathon%202%200%20by%20%40iNeuron%20Intelligence%20with%20%40JECRC%20University.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T062941Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=55c9cae2f78e06353b91e62dc39f9edc0b0c25d27da1b7db08e5cf99afae51a3
3,https://www.youtube.com/watch?v=DjxFTs4ZuU8,https://i.ytimg.com/vi/DjxFTs4ZuU8/sddefault.jpg?v=63160d3a,Meet My Teacher | Teacher's Day Special | @UCd-HN6ZBWIFJdG6KSLATd6g,561,41,10247,https://scrappernew.s3.amazonaws.com/videos/Meet%20My%20Teacher%20%20Teachers%20Day%20Special%20%20%40UCd-HN6ZBWIFJdG6KSLATd6g.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063011Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=2a2f9f6c72c4282b8f4e219347bfaf0ed2e277ebeea71c292c15bf92f7dbd176
4,https://www.youtube.com/watch?v=uJesWe403HM,https://i.ytimg.com/vi/uJesWe403HM/sddefault.jpg?v=6315fb38,Teacher's Day Special Announcement | Offers | Neuro Labs | New Batch,459,41,7703,https://scrappernew.s3.amazonaws.com/videos/Teachers%20Day%20Special%20Announcement%20%20Offers%20%20Neuro%20Labs%20%20New%20Batch.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063034Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=3f47603c1615b194e189678687074cb157b3c51028a489a4458e45ac94e90a6e
5,https://www.youtube.com/watch?v=PPRlWvX3f9Y,https://i.ytimg.com/vi/PPRlWvX3f9Y/sddefault.jpg,Best Programming Course in Hindi,1.1K,237,15015,https://scrappernew.s3.amazonaws.com/videos/Best%20Programming%20Course%20in%20Hindi.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063100Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=b084b1e0eb181898ae54d4cc2735631285f8499aa9e3b6b52f19d8f0f1136023
6,https://www.youtube.com/shorts/mLvdnHKY220,https://i.ytimg.com/vi/mLvdnHKY220/maxresdefault.jpg,,Reload,0,8744,https://scrappernew.s3.amazonaws.com/videos/Tum%20kaun%20ho.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063109Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=3fbff227fbcdbe02ca3b8c6f696ca8440bb91e147750aed6c4262601a25a0770
7,https://www.youtube.com/watch?v=5mbQuIr6f8o,https://i.ytimg.com/vi/5mbQuIr6f8o/hqdefault.jpg?v=6301c14b,Number Shifting Game Project in C,579,36,11860,https://scrappernew.s3.amazonaws.com/videos/Number%20Shifting%20Game%20Project%20in%20C.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063131Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=52368f0cd5c74106bd8c62ae5d5d782e295775b30f4416b71b80cf8bdd990220
8,https://www.youtube.com/watch?v=PTlNfIaSGus,https://i.ytimg.com/vi/PTlNfIaSGus/sddefault.jpg?v=63006757,Introduction to C++ and OOP (Bootcamp Batch LIVE),910,69,17847,https://scrappernew.s3.amazonaws.com/videos/Introduction%20to%20C%2B%2B%20and%20OOP%20%28Bootcamp%20Batch%20LIVE%29.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063158Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=b2857d2d56bc079e82f0fe06c6ab68b907b66049a56faaa476e0dc577821f7b1
9,https://www.youtube.com/watch?v=AwmhL1N8QEE,https://i.ytimg.com/vi/AwmhL1N8QEE/sddefault.jpg?v=62fa6b72,MySirG Gift on Independence Day | Jai Hind,805,181,13095,https://scrappernew.s3.amazonaws.com/videos/MySirG%20Gift%20on%20Independence%20Day%20%20Jai%20Hind.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063224Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=185db91870db73734a06f2e844f5baec856500dbfce712c07a7c0654c834f782
10,https://www.youtube.com/watch?v=KFZ3Eftp8lo,https://i.ytimg.com/vi/KFZ3Eftp8lo/sddefault.jpg?v=62f6661c,Loops in Python | LIVE Community Classes | MySirG,471,22,10856,https://scrappernew.s3.amazonaws.com/videos/Loops%20in%20Python%20%20LIVE%20Community%20Classes%20%20MySirG.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063248Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=0db271f9c0df0d4aa601df1c04f59d660907e6e290f26349329d58043d5c6190
11,https://www.youtube.com/shorts/qgNnf1GMLxc,https://i.ytimg.com/vi/qgNnf1GMLxc/maxresdefault.jpg,,Reload,0,6073,https://scrappernew.s3.amazonaws.com/videos/Yeh%20channel%20dekha%20kya.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063258Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=b425cafe23c57283a66bb643ba06b75845d18ff162f3a8984b170062cb2bab96
12,https://www.youtube.com/watch?v=-Po6d6Zm3cE,https://i.ytimg.com/vi/-Po6d6Zm3cE/sddefault.jpg?v=62f51268,Decision Control in Python | LIVE Community Classes | MySirG,372,15,7903,https://scrappernew.s3.amazonaws.com/videos/Decision%20Control%20in%20Python%20%20LIVE%20Community%20Classes%20%20MySirG.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5TF45NA7BL23MRWM%2F20220911%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20220911T063316Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=ea7e0f9c5f7f0e361b6fdbf8dfe22acbcecf9bd9f7897be92d2ebfb41363859d
